year,gender,method,suicides
2022,Men,poisoning,65.0
2022,Men,Hang,254.0
2022,Men,weapons,143.0
2022,Men,Othermethods,257.0
2022,Men,Totalsuicides,719.0
2022,Men,Allcausesofdeath,35105.0
2022,Women,poisoning,63.0
2022,Women,Hang,66.0
2022,Women,weapons,12.0
2022,Women,Othermethods,145.0
2022,Women,Totalsuicides,286.0
2022,Women,Allcausesofdeath,36087.0
2022,both,poisoning,128.0
2022,both,Hang,304.0
2022,both,weapons,155.0
2022,both,Othermethods,402.0
2022,both,Totalsuicides,1005.0
2022,both,Allcausesofdeath,71192.0
2023,Men,poisoning,65.0
2023,Men,Hang,254.0
2023,Men,weapons,143.0
2023,Men,Othermethods,257.0
2023,Men,Totalsuicides,719.0
2023,Men,Allcausesofdeath,35105.0
2023,Women,poisoning,63.0
2023,Women,Hang,66.0
2023,Women,weapons,12.0
2023,Women,Othermethods,145.0
2023,Women,Totalsuicides,286.0
2023,Women,Allcausesofdeath,36087.0
2023,both,poisoning,128.0
2023,both,Hang,304.0
2023,both,weapons,155.0
2023,both,Othermethods,402.0
2023,both,Totalsuicides,1005.0
2023,both,Allcausesofdeath,71192.0
2024,Men,poisoning,65.0
2024,Men,Hang,254.0
2024,Men,weapons,143.0
2024,Men,Othermethods,257.0
2024,Men,Totalsuicides,719.0
2024,Men,Allcausesofdeath,35105.0
2024,Women,poisoning,63.0
2024,Women,Hang,66.0
2024,Women,weapons,12.0
2024,Women,Othermethods,145.0
2024,Women,Totalsuicides,286.0
2024,Women,Allcausesofdeath,36087.0
2024,both,poisoning,128.0
2024,both,Hang,304.0
2024,both,weapons,155.0
2024,both,Othermethods,402.0
2024,both,Totalsuicides,1005.0
2024,both,Allcausesofdeath,71192.0
2025,Men,poisoning,65.0
2025,Men,Hang,254.0
2025,Men,weapons,143.0
2025,Men,Othermethods,257.0
2025,Men,Totalsuicides,719.0
2025,Men,Allcausesofdeath,35105.0
2025,Women,poisoning,63.0
2025,Women,Hang,66.0
2025,Women,weapons,12.0
2025,Women,Othermethods,145.0
2025,Women,Totalsuicides,286.0
2025,Women,Allcausesofdeath,36087.0
2025,both,poisoning,128.0
2025,both,Hang,304.0
2025,both,weapons,155.0
2025,both,Othermethods,402.0
2025,both,Totalsuicides,1005.0
2025,both,Allcausesofdeath,71192.0
